DAY,HOUR,PERIOD_TYPE,PERIOD_SORT,HOURS_AVAILABLE
Monday,9,Off Peak,1,0
Monday,10,Off Peak,2,0
Monday,11,Off Peak,3,17
Monday,12,Off Peak,4,17
Monday,13,Off Peak,5,17
Monday,14,Off Peak,6,17
Monday,15,Off Peak,7,17
Monday,16,Peak,8,17
Monday,17,Peak,9,17
Monday,18,Peak,10,17
Monday,19,Peak,11,17
Monday,20,Peak,12,17
Monday,21,Peak,13,17
Monday,22,Peak,14,17
Monday,23,Late Off Peak,15,17
Monday,0,Late Off Peak,16,0
Monday,1,Late Off Peak,17,0
Monday,2,Late Off Peak,18,0
Monday,3,Late Off Peak,19,0
Monday,4,Late Off Peak,20,0
Monday,5,Late Off Peak,21,0
Monday,6,Late Off Peak,22,0
Monday,7,Late Off Peak,23,0
Monday,8,Late Off Peak,24,0
Tuesday,9,Off Peak,1,0
Tuesday,10,Off Peak,2,0
Tuesday,11,Off Peak,3,17
Tuesday,12,Off Peak,4,17
Tuesday,13,Off Peak,5,17
Tuesday,14,Off Peak,6,17
Tuesday,15,Off Peak,7,17
Tuesday,16,Peak,8,17
Tuesday,17,Peak,9,17
Tuesday,18,Peak,10,17
Tuesday,19,Peak,11,17
Tuesday,20,Peak,12,17
Tuesday,21,Peak,13,17
Tuesday,22,Peak,14,17
Tuesday,23,Late Off Peak,15,17
Tuesday,0,Late Off Peak,16,0
Tuesday,1,Late Off Peak,17,0
Tuesday,2,Late Off Peak,18,0
Tuesday,3,Late Off Peak,19,0
Tuesday,4,Late Off Peak,20,0
Tuesday,5,Late Off Peak,21,0
Tuesday,6,Late Off Peak,22,0
Tuesday,7,Late Off Peak,23,0
Tuesday,8,Late Off Peak,24,0
Wednesday,9,Off Peak,1,0
Wednesday,10,Off Peak,2,0
Wednesday,11,Off Peak,3,17
Wednesday,12,Off Peak,4,17
Wednesday,13,Off Peak,5,17
Wednesday,14,Off Peak,6,17
Wednesday,15,Off Peak,7,17
Wednesday,16,Peak,8,17
Wednesday,17,Peak,9,17
Wednesday,18,Peak,10,17
Wednesday,19,Peak,11,17
Wednesday,20,Peak,12,17
Wednesday,21,Peak,13,17
Wednesday,22,Peak,14,17
Wednesday,23,Late Off Peak,15,17
Wednesday,0,Late Off Peak,16,0
Wednesday,1,Late Off Peak,17,0
